cut_off,previous_year_cutoff,rank,branch,category,district,sports_quota,college_name,college_fees
154,152,5201,Chemical,OC,Vellore,Yes,Kingston Engineering College - Katpadi,174000.0
153,146,5603,ECE,SC,Sivagangai,No,R.V.S. Engineering College - Sivagangai,175000.0
156,159,5576,CSE,OC,Ranipet,No,Vels Institute of Technology - Ranipet,183000.0
130,130,9420,Civil,BC,Kanyakumari,Yes,Lourdes Mount College of Engineering - Mulagumoodu,145000.0
149,149,6544,IT,OC,Theni,No,Theni Engineering College - Theni,180000.0
132,130,10000,ECE,BC,Thiruvarur,No,S.T. Hindu College - Thiruvarur,170000.0
164,167,3441,IT,BC,Salem,No,Vinayaka Mission University - Aarapalayam,174000.0
135,134,9219,EIE,MBC,Kallakurichi,No,Anna University Regional Campus - Kallakurichi,150000.0
144,142,7400,Aerospace,SC,Sivagangai,No,Sivagangai Engineering College - Sivagangai,172000.0
140,134,7888,Chemical,MBC,Sivagangai,No,Sudharsan Engineering College - Sivagangai,153000.0
155,154,5679,EIE,BC,Dindigul,Yes,PSNA College of Engineering - Dindigul,151000.0
145,148,7425,Civil,SC,Virudhunagar,No,Ramco Institute of Technology - Rajapalayam,130000.0
130,135,10000,Civil,OC,Trichy,No,Jamal Mohamed College - Khajamalai,149000.0
143,151,7623,ECE,MBC,Dindigul,No,R.V.S. College of Engineering - Dindigul,159000.0
142,135,7921,Mechanical,SC,Trichy,No,Pavendar Bharathidasan College - Mathur,177000.0
155,153,5089,Biotech,OC,Tirunelveli,No,Einstein College of Engineering - Seethaparpanallur,169000.0
161,159,4529,Aerospace,BC,Tenkasi,No,Government College of Engineering - Tenkasi,59000.0
155,155,6036,EEE,OC,Trichy,No,National Institute of Technology Trichy - Thuvakudi,181000.0
130,130,10000,ECE,OC,Kancheepuram,No,G.K.M. College of Engineering - Chennai Road,211000.0
142,134,8393,Civil,BC,Coimbatore,No,Park College of Technology - Karumathampatti,168000.0
130,138,10000,EIE,SC,Tirunelveli,No,S.Vellaichamy Nadar College - Thatchanallur,155000.0
156,153,5183,CSE,OC,Coimbatore,No,Dr. Mahalingam College of Engineering - Pollachi,231000.0
140,138,8088,Biotech,MBC,Nagapattinam,No,M.R.K. College of Engineering - Nagapattinam,165000.0
130,131,9662,Aerospace,MBC,Namakkal,No,N.P.R. College of Engineering - Namakkal,159000.0
132,130,10000,CSE,MBC,Theni,No,Theni Engineering College - Theni,167000.0
143,135,7687,ECE,OC,Madurai,No,Sethu Institute of Technology - Pulloor,193000.0
152,146,5592,ECE,OC,Tirunelveli,No,Jayamatha Engineering College - Aralvaimozhi,179000.0
